TV,MV,AF,FE,DE,RV,G,PR,SF,TAS,FRDV,C,S,TP
Foton,SAUVANA,2010,20000,2019-01-01,Entretien régulier en usine,Non,8,9,9,9,8,8,Fumée du moteur
Haval,HAVAL H6,2011,10000,2019-01-01,Entretien régulier en usine,Non,7,9,8,6,8,8,Problèmes électriques
Foton,Gratour V5,2012,5000,2019-01-01,Une panne urgente,Non,6,7,7,7,6,7,Surchauffe
Foton,TUNLAND,2013,20000,2019-01-01,Entretien régulier en usine,Non,7,7,7,8,7,8,Problèmes de suspension
Foton,Gratour V5,2014,10000,2019-01-01,Entretien régulier en usine,Non,8,9,8,9,9,9,Fumée du moteur
Foton,TUNLAND,2015,10000,2019-01-01,Entretien régulier en usine,Oui,6,6,6,6,8,7,Fumée du moteur
Haval,HAVAL H6,2016,10000,2019-01-01,Une panne urgente,Oui,10,9,9,10,8,10,Problèmes électriques
Foton,TUNLAND,2017,15000,2019-01-01,Entretien régulier en usine,Oui,11,9,8,9,8,10,Fumée du moteur
Foton,Gratour V5,2018,20000,2019-01-01,Entretien régulier en usine,Non,7,6,6,7,8,7,Démarrage difficile
Haval,HAVAL Jolion,2019,5000,2019-01-01,Entretien régulier en usine,Non,8,7,8,7,9,9,Surchauffe
Foton,TUNLAND,2020,20000,2019-01-01,Entretien régulier en usine,Oui,6,7,8,7,6,7,Fumée du moteur
Haval,HAVAL H6,2021,10000,2019-01-01,Une panne urgente,Non,9,8,9,9,8,10,Problèmes de suspension
Haval,HAVAL H6,2013,20000,2019-01-02,Entretien régulier en usine,Non,7,9,8,7,7,8,Surchauffe
Foton,TUNLAND,2014,25000,2019-01-02,Une panne urgente,Non,9,9,8,8,7,8,Démarrage difficile
Foton,Gratour V5,2015,5000,2019-01-02,Entretien régulier en usine,Oui,9,9,11,10,9,10,Surchauffe
Haval,HAVAL Jolion,2018,10000,2019-01-02,Entretien régulier en usine,Non,9,9,9,9,9,9,Démarrage difficile
Haval,HAVAL Jolion,2016,15000,2019-01-02,Entretien régulier en usine,Oui,7,9,9,7,8,8,Problèmes de suspension
Haval,HAVAL Jolion,2021,20000,2019-01-02,Entretien régulier en usine,Non,9,7,9,8,9,9,Surchauffe
Haval,HAVAL Jolion,2019,25000,2019-01-02,Entretien régulier en usine,Oui,10,8,9,10,9,9,Problèmes électriques
